ObjectId,CitationNumber,OfficerBadgeNo,CitationDateTime,OffenseDateTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch
11,CS0134019,256,2016/04/27 20:18:00+00,00/27/2016 13:18:00,,119655,DRIVER,59,M,ASIAN OTHER,A,1988,BMW,M6,PASS,5347,14TH AVE,,W,N,WARNING,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,WARNING ONLY,,2D
12,CS0145015,487,2016/03/02 15:00:00+00,00/02/2016 07:00:00,,60907,DRIVER,53,M,AFRICAN AMERICAN,B,,,,,,400 BANNONST,,,N,CITATION,I,(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,SCC,12.52.030(A),(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,N,,,,,,N,,,,,
13,CS0165004,257,2016/05/10 20:23:59+00,00/10/2016 13:24:00,CLEAR,133602,DRIVER,19,M,WHITE,W,2015,FORD,TRANSIT CARGO,TRCK,,FOLSOM BLVD,HORNET DR,W,N,WARNING,I,(I) LICENSE NOT IN POSSESSION,VC,12951(A),(I) LICENSE NOT IN POSSESSION,N,,,,,,N,,,WARNING ONLY,,VN
14,CS0042025,951,2016/06/14 17:12:00+00,00/14/2016 10:12:00,CLEAR,170962,DRIVER,30,F,ASIAN OTHER,A,2005,GMC,YUKON DENALI,TRCK,,CASA LINDA DR,24TH ST,N,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,,,,,LL
15,CS0165160,257,2016/06/07 15:20:59+00,00/07/2016 08:21:00,,163170,DRIVER,25,F,WHITE,W,2005,SCION,TC,PASS,,FRUITRIDGE RD,STOCKTON BLVD,S,N,CITATION,I,"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",VC,27315(D)(1),"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",N,,,,,,N,,,,,2T
16,CS0016742,804,2016/09/12 22:56:00+00,00/12/2016 15:56:00,,265610,DRIVER,56,M,WHITE,W,,,NOT IN LIST,PASS,910,I STREET,,,N,CITATION,I,(I) Possesses Open Container in a Public Place,SCC,9.04.055(C),(I) POSSESSES OPEN CONTAINER IN A PUBLIC PLACE,N,,,,,,N,,,,,
17,CS0085030,321,2016/08/20 22:44:59+00,00/20/2016 15:45:00,,241853,DRIVER,55,F,WHITE,W,,,,PASS,915,I ST,,,N,CITATION,I,(I) Possesses Open Container in a Public Place,SCC,9.04.055(C),(I) POSSESSES OPEN CONTAINER IN A PUBLIC PLACE,N,,,,,,N,CAN INSIDE BAG ASKED WHAT IT WAS AND IF IT WAS ALCH SAID YES HALF DRANK NATTY ICE 25OZ SMELT OF ALCH SOUTH OF CITY HALL IDD BY CA ID,,,,
18,CS0106018,385,2016/02/04 08:13:00+00,00/04/2016 00:13:00,CLEAR,368387,DRIVER,43,M,WHITE,W,,,NOT IN LIST,PASS,915,I ST,,,N,WARNING,I,(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,SCC,12.52.030(A),(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,N,,,,,,N,,,WARNING ONLY,,
19,CS0167266,886,2016/12/07 23:13:59+00,00/07/2016 15:14:00,CLOUDY,350928,DRIVER,21,F,MIXED RACE,U,2012,HYUNDAI,GENESIS COUPE,PASS,,CLUB CENTER DR,REGENCY PARK CIR,E,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,15,,,,,N,,,,,2D
20,CS0124066,971,2016/04/04 06:20:00+00,00/03/2016 23:20:00,CLEAR,94344,DRIVER,22,M,AFRICAN AMERICAN,B,1997,SUZUKI,GSX600,MTCY,,STOCKTON BLVD,PERRY AVE,N,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,55,,,,,N,,,,,MC
21,CS0134062,256,2016/11/25 14:58:00+00,00/25/2016 06:58:00,,339565,DRIVER,53,M,WHITE,W,,,NOT IN LIST,PASS,,RICHARDS BLVD,I-5,,N,CITATION,I,(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,SCC,12.52.030(A),(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,N,,,,,,N,,,,,
22,CS0145669,454,2016/12/21 17:10:00+00,00/21/2016 09:10:00,CLEAR,364051,DRIVER,49,M,WHITE,W,,,NOT IN LIST,PASS,8175,LA RIVIERA BLVD,,,N,CITATION,I,(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,SCC,12.52.030(A),(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,N,,,,,,N,,,,,
23,CS0009370,298,2016/02/09 21:58:00+00,00/09/2016 13:58:00,CLEAR,38630,DRIVER,26,M,WHITE,W,2004,HONDA,CIVIC,PASS,,J ST,29TH ST,E,N,CITATION,I,(I) FAIL TO OBEY TRAFFIC CONTROL SIGNS,VC,21461(A),"(I) FAIL TO OBEY TRAFFIC CONTROL SIGNS
NO RIGHT TURN ON RED",N,,,,,,N,,,,,4D
24,CS0164667,530,2016/06/30 19:56:00+00,00/30/2016 12:56:00,,188575,DRIVER,21,F,HISPANIC,W,2012,BMW,7 SERIES,PASS,3600,CUTTER,,W,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,,,,,
25,CS0073532,224,2016/01/31 08:39:59+00,00/31/2016 00:40:00,,29162,DRIVER,52,F,WHITE,W,,,NOT IN LIST,PASS,1014,10TH ST,,,N,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),(M) POSS DANGEROUS DRUG,N,,,,,,N,,,,,
26,CS0048536,897,2016/02/14 20:41:00+00,00/14/2016 12:41:00,,43624,DRIVER,40,F,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,915,I ST,,,N,WARNING,M,(M) UNLAWFUL CAMPING-PUBLIC PROPERY,SCC,12.52.030(A),(M) UNLAWFUL CAMPING-PUBLIC PROPERY,N,,,,,,N,,,,,
27,CS0142987,886,2016/07/08 17:06:00+00,00/08/2016 10:06:00,,198072,DRIVER,40,F,UNKNOWN,U,2001,PONTIAC,GRAND PRIX,PASS,,SAN JUAN RD,NORTHGATE,E,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,30,,,,,N,,,,,4T
28,CS0048683,897,2016/08/08 03:17:59+00,00/07/2016 20:18:00,CLEAR,228862,DRIVER,54,M,WHITE,W,1997,HONDA,ACCORD,PASS,2258,EMPRESS ST,,N,Y,CITATION,M,(M) UNLAWFUL DISPLAY OF EVIDENCE OF REGISTRATION W/INTENT,VC,4462.5,(M) UNLAWFUL DISPLAY OF EVIDENCE OF REGISTRATION W/INTENT,N,,,,,,N,,,,,
29,CS0118013,486,2016/03/19 14:45:59+00,00/19/2016 07:46:00,,78486,DRIVER,34,M,WHITE,W,,,NOT IN LIST,PASS,2626,T ST,,,Y,CITATION,M,(M) REC STOLEN PROP-MISD,PC,496(A),(M) REC STOLEN PROP-MISD,N,,,,,,N,,,,,
30,CS0039029,931,2016/10/18 23:35:00+00,00/18/2016 16:35:00,,302243,DRIVER,51,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,2221,W ST,,N,Y,CITATION,M,(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,HS,11364(A),(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,N,,,,,,N,,,,,
31,CS0136056,522,2016/07/15 16:46:00+00,00/15/2016 09:46:00,,205044,DRIVER,33,F,HISPANIC,W,,,NOT IN LIST,PASS,9TH,STREET,STREET,,N,CITATION,I,(I) RIDING BICYCLE ON SIDEWALK,SCC,10.76.010(A),,N,,,,,,N,,,,,
32,CS0137218,3006,2016/09/14 23:21:00+00,00/14/2016 16:21:00,,267602,DRIVER,45,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,650,EL CAMINO AVE,,,Y,CITATION,M,(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,HS,11364(A),(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,N,,,,,,N,,,,,
33,CS0152551,592,2016/09/16 08:00:00+00,00/16/2016 01:00:00,CLEAR,269128,DRIVER,23,U,HISPANIC,W,2004,TOYOTA,CAMRY,PASS,,L ST,20TH ST,W,N,CITATION,I,(I) RIGHT OF WAY AT CROSSWALK,VC,21950(A),(I) RIGHT OF WAY AT CROSSWALK,N,,,,,,N,PARKED IN NORMAL SPOT.  WB SEDAN FAIL YIELD 2 PEDS FROM N AND S.  STOP ID BY PAPER CDL. SAID THEY HAD STOPPED SO HE KEPT GOING.  WATCH ICC.  CITE SIGNED SOW,,,,4D
34,CS0164960,530,2016/09/29 23:10:59+00,00/29/2016 16:11:00,,282945,DRIVER,38,F,EAST INDIAN,W,2011,HONDA,ACCORD,PASS,,SAN JUAN RD,TRUXEL RD,S,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,,,,,
35,CS0168393,257,2016/12/22 23:41:00+00,00/22/2016 15:41:00,,100000,DRIVER,24,M,WHITE,W,1992,ACURA,INTEGRA,PASS,,J ST,28TH ST,E,N,WARNING,I,(I) MAINTENANCE OF SEATBELTS,VC,27315(F),(I) MAINTENANCE OF SEATBELTS,N,,,,,,N,,,WARNING ONLY,,
36,CS0165021,257,2016/05/12 19:46:00+00,00/12/2016 12:46:00,CLEAR,135730,DRIVER,36,M,UNKNOWN,U,2004,MERCEDES-BENZ,C-CLASS,PASS,,TRUXEL RD,SAN JUAN RD,S,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,4D
37,CS0138025,842,2016/05/20 19:53:00+00,00/20/2016 12:53:00,,144253,DRIVER,19,M,AFRICAN AMERICAN,B,1996,SUBARU,OUTBACK,PASS,,35TH STREET,16TH AVENUE,W,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,,,,,,N,,,,,4H
38,CS0008686,530,2016/12/19 21:42:00+00,00/19/2016 13:42:00,,362343,DRIVER,39,M,WHITE,W,2005,FORD,F150,PASS,,16TH ST,BROADWAY,,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
39,CS0142646,886,2016/03/01 22:24:00+00,00/01/2016 14:24:00,CLEAR,60249,DRIVER,28,M,WHITE,W,2004,VOLVO,S40,PASS,0,J ST,51ST ST,E,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,25,,,,,N,,,,,4T
40,CS0150031,943,2016/08/13 09:43:59+00,00/13/2016 02:44:00,,234438,DRIVER,18,F,FILIPINO,A,2006,LEXUS,LS 430,PASS,,DEL PASO ROAD,FIVE STAR WAY,W,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,,,,,,N,,,,,4D
41,CS0117061,876,2016/11/15 21:45:00+00,00/15/2016 13:45:00,,330496,DRIVER,29,F,WHITE,W,2013,NISSAN,SENTRA,PASS,,AZEVEDO DR,PEBBLEWOOD DR,N,N,WARNING,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
42,CS0168328,257,2016/12/05 18:52:00+00,00/05/2016 10:52:00,CLEAR,348637,DRIVER,42,M,UNKNOWN,U,2002,TOYOTA,TACOMA,PASS,,FRUITRIDGE RD,STOCKTON BLVD,E,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
43,CS0088017,493,2016/09/22 17:48:00+00,00/22/2016 10:48:00,CLEAR,275350,DRIVER,60,M,WHITE,W,,,NOT IN LIST,PASS,,I-80,NORWOOD DR,W,N,CITATION,I,(I) PANHANDLING,SCC,5.116.210,(I) PANHANDLING,N,,,,,,N,,,,,
44,CS0131522,671,2016/07/09 00:58:00+00,00/08/2016 17:58:00,CLEAR,198521,DRIVER,23,M,WHITE,W,1997,HONDA,CBR,PASS,,DOOLITTLE ST,MARYSVILLE BLVD,N,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,2D
45,CS0152059,298,2016/08/22 15:59:00+00,00/22/2016 08:59:00,CLEAR,243391,DRIVER,33,F,HISPANIC,W,2010,LAND ROVER,RANGE ROVER,PASS,,J ST,3RD ST,E,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,BF'S VEH. USED TO BE REG IN NV BUT NO LONGER,,,,4H
46,CS0001274,530,2016/02/15 18:13:00+00,00/15/2016 10:13:00,,44681,DRIVER,32,M,AFRICAN AMERICAN,B,1999,BUICK,LESABRE,PASS,,TAFT ST,EL CAMINO AVE,W,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,(I) UNSAFE SPEED FOR CONDITIONS,N,50,35,LIDAR,HANDHELD,,N,,,,,
47,CS0115524,843,2016/01/21 12:14:59+00,00/21/2016 04:15:00,,18840,DRIVER,45,M,HISPANIC,W,,,NOT IN LIST,PASS,8676,BEAUXART CIR,,,Y,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),(M) POSS DANGEROUS DRUG,N,,,,,,N,,,,,
48,CS0094536,397,2016/08/18 23:13:59+00,00/18/2016 16:14:00,,239878,DRIVER,26,F,AFRICAN AMERICAN,B,2001,DODGE,DURANGO,PASS,,44TH ST,12TH AVE,NW,N,CITATION,M,(M) UNLAWFUL DISPLAY OF EVIDENCE OF REGISTRATION W/INTENT,VC,4462.5,(M) UNLAWFUL DISPLAY OF EVIDENCE OF REGISTRATION W/INTENT,N,,,,,,N,,,,,4T
49,CS0142830,886,2016/05/06 18:20:59+00,00/06/2016 11:21:00,CLOUDY,129408,DRIVER,76,M,UNKNOWN,U,2003,NISSAN,ALTIMA,PASS,,SAN JUAN RD,NORTHGATE,W,N,WARNING,I,(I) FAIL TO OBEY TRAFFIC CONTROL SIGNS,VC,21461(A),(I) FAIL TO OBEY TRAFFIC CONTROL SIGNS,N,5,,,,,N,,,WARNING ONLY,,4T
50,CS0068048,3038,2016/09/03 22:57:59+00,00/03/2016 15:58:00,,256419,DRIVER,59,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,720,9TH STREET,,,N,CITATION,M,(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,HS,11364(A),(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,N,,,,,,N,,,,,
51,CS0149505,496,2016/09/04 18:33:59+00,00/04/2016 11:34:00,,257269,DRIVER,51,M,HISPANIC,W,,,NOT IN LIST,,34ST,STREETS,FOLSOM BLVD,N,N,CITATION,M,(M) VANDALISM -$400,PC,594(B)(2)(A),(M) VANDALISM -$400,N,,,,,,N,,,,,
52,CS0141060,388,2016/11/18 18:17:59+00,00/18/2016 10:18:00,CLEAR,333416,DRIVER,31,F,HISPANIC,W,,,NOT IN LIST,PASS,,8TH ST,I ST,,Y,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),(M) POSS DANGEROUS DRUG,N,,,,,,N,,,,,
53,CS0032204,3103,2016/09/19 18:43:59+00,00/19/2016 11:44:00,CLEAR,272499,DRIVER,20,M,ASIAN INDIAN,A,2011,TOYOTA,CAMRY,PASS,,GRAND AVE,MAHAGONY ST,,N,WARNING,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,WARNING ONLY,,
54,CS0152025,298,2016/07/27 16:20:00+00,00/27/2016 09:20:00,CLEAR,217203,DRIVER,21,F,WHITE,W,2011,NISSAN,ALTIMA,PASS,,P ST,19TH ST,W,N,WARNING,I,(I) SEND/READ/WRITE TEXT WHILE DRIVING,VC,23123.5(A),(I) SEND/READ/WRITE TEXT WHILE DRIVING,N,,,,,,N,,,WARNING ONLY,,2D
55,CS0001134,530,2016/01/07 18:51:00+00,00/07/2016 10:51:00,,5854,DRIVER,63,M,ASIAN OTHER,A,2004,TOYOTA,SIENNA,PASS,,GLORIA DR,CEDAR RIVER WAY,S,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,50,35,LIDAR,HANDHELD,,N,,,,,
56,CS0158517,558,2016/08/26 16:31:59+00,00/26/2016 09:32:00,CLEAR,247530,DRIVER,34,M,WHITE,W,,,NOT IN LIST,PASS,1587,W EL CAMINO AVENUE,,,Y,CITATION,M,(M) TRESPASS AFTER NOTICE GIVEN,SCC,9.16.140(B)(1),(M) TRESPASS AFTER NOTICE GIVEN,N,,,,,,N,,,,,
57,CS0015461,592,2016/05/26 04:59:00+00,00/25/2016 21:59:00,CLEAR,149864,DRIVER,19,F,WHITE,W,1998,HONDA,CIVIC,PASS,,K ST,25TH ST,E,N,WARNING,I,(I) DRIVE W/O LIGHTS DURING DARK,VC,24250,(I) DRIVE W/O LIGHTS DURING DARK,N,,,,,,N,,,WARNING ONLY,,4D
58,CS0069145,501,2016/11/03 00:17:59+00,00/02/2016 17:18:00,CLEAR,317605,DRIVER,48,M,WHITE,W,,,NOT IN LIST,PASS,1014,11TH ST,,,N,CITATION,I,(I) Possesses Open Container in a Public Place,SCC,9.04.055(C),(I) POSSESSES OPEN CONTAINER IN A PUBLIC PLACE,N,,,,,,N,,,,,
59,CS0109014,888,2016/02/13 23:28:00+00,00/13/2016 15:28:00,CLEAR,42944,DRIVER,24,M,ASIAN OTHER,A,2001,MITSUBISHI,,PASS,,FRUITRIDGE RD,42ND ST,W,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,25,,,,,N,,,,,4D
60,CS0033515,797,2016/05/10 02:48:00+00,00/09/2016 19:48:00,,132935,DRIVER,20,M,AFRICAN AMERICAN,B,,,,,414,K STREET,,,N,CITATION,M,(M)BURGLARY SHOPLIFT < $950,PC,459.5,(M)BURGLARY SHOPLIFT < $950,N,,,,,,N,,,,,
61,CS0115009,904,2016/04/02 13:04:00+00,00/02/2016 06:03:00,CLEAR,93093,DRIVER,31,M,AFRICAN AMERICAN,B,2001,CHRYSLER,300M,PASS,,RIVER PLAZA,OAK HARBOUR DR,,N,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),(M) POSS DANGEROUS DRUG,N,,,,,,N,,,,,4D
62,CS0102080,660,2016/02/24 17:02:00+00,00/24/2016 09:02:00,CLEAR,53745,DRIVER,50,M,HISPANIC,W,2001,HONDA,CIVIC,PASS,,29TH ST,FLORES,N,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,VEH STOPPED ON XWALK AND SEVERAL KIDS EXITED THE VEH A CHILD CROSSING E IN THE CROSSWALK HAD TO EXIT THE CROSSWALK AND WALK AROUND THIS VEH W NB TRAFFIC APPCHG. THIS DRIVER HAD A MATRICULAR CARD AND WAS IDD VIA COMPUTER IN CAR HE HAD NO CDL NOR COULD HE PROVIDE INSURANCE I WAS GETTING READY TO EXIT P LOT,,,,2D
63,CS0164925,530,2016/09/09 18:39:00+00,00/09/2016 11:39:00,,262398,DRIVER,21,M,HISPANIC,W,2012,KAWASAKI,NINJA,PASS,,LAND PARK DR,15TH AVE,S,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
64,CS0094030,261,2016/06/26 08:47:00+00,00/26/2016 01:47:00,CLEAR,183926,DRIVER,22,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,,27TH STREET,J STREET,,Y,CITATION,M,(M) OBSTRUCTS/RESISTS PUBLIC OFFICER,PC,148(A)(1),(M) OBSTRUCTS/RESISTS PUBLIC OFFICER,N,,,,,,N,,,Incapacitated,,
65,CS0164907,530,2016/09/02 14:52:59+00,00/02/2016 07:53:00,,254814,DRIVER,42,M,WHITE,W,2014,FORD,F150,PASS,,SAN JUAN RD,TRUXEL RD,S,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,
66,CS0069108,501,2016/09/02 23:26:59+00,00/02/2016 16:27:00,CLEAR,255296,DRIVER,51,M,WHITE,W,,,NOT IN LIST,PASS,140,FRONT ST,,,N,CITATION,M,(M) VIOLATION OF PROBATION-MISD,PC,1203.2,(M) VIOLATION OF PROBATION-MISD,N,,,,,,N,,,,,
67,CS0167146,886,2016/10/25 17:58:59+00,00/25/2016 10:59:00,CLOUDY,308983,DRIVER,34,F,AM. IND./AL. NATIVE,I,2002,FORD,EXPEDITION,PASS,,KOKOMO DR,NORTH PARK,W,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,5,,,,,N,,,,,4H
68,CS0125504,876,2016/03/06 21:43:59+00,00/06/2016 13:44:00,,65470,DRIVER,50,M,WHITE,W,,,NOT IN LIST,PASS,915,I ST,,,N,WARNING,I,(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,SCC,12.52.030(A),(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,N,,,,,,N,,,WARNING ONLY,,
69,CS0069127,501,2016/10/20 00:17:59+00,00/19/2016 17:18:00,CLEAR,303375,DRIVER,50,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,,13TH ST,I ST,,N,CITATION,I,(I) URINATE/DEFECATE IN PUBLIC,SCC,9.04.070,(I) URINATE/DEFECATE IN PUBLIC,N,,,,,,N,,,,,
