CitationNumber,OfficerBadgeNo,CitationDate,CitationTime,OffenseDate,OffenseTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch,ObjectId
CS0216121,530,2021/01/08 00:00:00+00,2023/02/01 11:16:00+00,2021/01/08 00:00:00+00,2023/02/01 11:16:00+00,,6941,DRIVER,27,F,AFRICAN AMERICAN,B,2018,DODGE,,PASS,,RICHARDS BLVD,SEQUOIA PACIFIC BLVD,E,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,21
CS0219809,876,2021/01/08 00:00:00+00,2023/02/01 09:37:00+00,2021/01/08 00:00:00+00,2023/02/01 09:37:00+00,,6825,DRIVER,25,M,AFRICAN AMERICAN,B,2011,VOLKSWAGEN,JETTA,PASS,,BROADWAY,16TH ST,W,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,22
CS0212961,592,2021/01/08 00:00:00+00,2023/02/01 09:12:00+00,2021/01/08 00:00:00+00,2023/02/01 09:12:00+00,CLOUDY,6793,DRIVER,31,F,WHITE,W,2010,MERCEDES-BENZ,C-CLASS,PASS,,24TH ST,19TH AVE,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,53,35,LIDAR,HANDHELD,LH003515,N,,,,,4D,23
CS0220037,270,2021/01/08 00:00:00+00,2023/02/01 11:03:00+00,2021/01/08 00:00:00+00,2023/02/01 11:03:00+00,,6927,DRIVER,38,M,AFRICAN AMERICAN,B,1999,MERCEDES-BENZ,ML-CLASS,PASS,,SUTTERVILLE RD,21ST ST,E,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,24
CS0219816,876,2021/01/08 00:00:00+00,2023/02/01 11:00:00+00,2021/01/08 00:00:00+00,2023/02/01 11:00:00+00,,6910,DRIVER,35,F,ASIAN OTHER,A,2016,MERCEDES-BENZ,GLA,PASS,,RIVERSIDE BLVD,SAN MATEO WAY,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,46,30,LIDAR,HANDHELD,LH001160,N,,,,,,25
CS0219808,876,2021/01/08 00:00:00+00,2023/02/01 09:31:00+00,2021/01/08 00:00:00+00,2023/02/01 09:31:00+00,,6809,DRIVER,58,M,AFRICAN AMERICAN,B,2006,DODGE,GRAND CARAVAN,PASS,,BROADWAY,LAND PARK DR,S,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,26
CS0220038,270,2021/01/08 00:00:00+00,2023/02/01 11:11:00+00,2021/01/08 00:00:00+00,2023/02/01 11:11:00+00,,6954,DRIVER,38,M,HISPANIC,W,2012,CHRYSLER,300,PASS,,FRUITRIDGE RD,FREEPORT BLVD CARMELA WAY ALY,W,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,27
CS0210869,931,2021/01/08 00:00:00+00,2023/02/01 10:29:00+00,2021/01/08 00:00:00+00,2023/02/01 10:29:00+00,FOG,6888,DRIVER,25,M,AFRICAN AMERICAN,B,2005,HYUNDAI,,PASS,,24TH ST,53RD AVE,S,N,Citation,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,55,,,,,N,,,,,,28
CS0215434,407,2021/01/08 00:00:00+00,2023/02/01 09:21:00+00,2021/01/08 00:00:00+00,2023/02/01 09:21:00+00,,6804,DRIVER,34,F,WHITE,W,2010,DODGE,GRAND CARAVAN,PASS,,BROADWAY,24TH ST,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,29
CS0219819,876,2021/01/08 00:00:00+00,2023/02/01 12:34:00+00,2021/01/08 00:00:00+00,2023/02/01 12:34:00+00,,7015,DRIVER,21,M,HISPANIC,W,2010,NISSAN,ALTIMA,PASS,,BROADWAY,16TH ST,W,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,60,25,PACED,HANDHELD,,N,,,,,,30
CS0220035,270,2021/01/08 00:00:00+00,2023/02/01 10:39:00+00,2021/01/08 00:00:00+00,2023/02/01 10:39:00+00,,6899,DRIVER,67,F,WHITE,W,2008,KIA,,PASS,,BROADWAY,LAND PARK DR,S,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,31
CS0215438,407,2021/01/08 00:00:00+00,2023/02/01 10:49:00+00,2021/01/08 00:00:00+00,2023/02/01 10:49:00+00,,6913,DRIVER,47,M,AFRICAN AMERICAN,B,2000,MERCURY,GRAND MARQUIS,PASS,,SUTTERVILLE RD,21ST ST,,N,Citation,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,,,,,N,,,,,,32
CS0219808,876,2021/01/08 00:00:00+00,2023/02/01 09:31:00+00,2021/01/08 00:00:00+00,2023/02/01 09:31:00+00,,6809,DRIVER,58,M,AFRICAN AMERICAN,B,2006,DODGE,GRAND CARAVAN,PASS,,BROADWAY,LAND PARK DR,S,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,33
CS0220029,270,2021/01/08 00:00:00+00,2023/02/01 09:07:00+00,2021/01/08 00:00:00+00,2023/02/01 09:07:00+00,,6785,DRIVER,19,M,WHITE,W,2018,TOYOTA,AVALON,PASS,,LAND PARK DR,SUTTERVILLE RD,E,N,Citation,I,(I) LICENSE NOT IN POSSESSION,VC,12951(A),,N,,,,,,N,,,,,,34
CS0101675,902,2021/01/08 00:00:00+00,2023/02/01 02:12:00+00,2021/01/08 00:00:00+00,2023/02/01 02:12:00+00,CLEAR,7097,DRIVER,45,F,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,3015,POWER INN RD,,,N,CITATION,I,(I) EVASION OF PAYMENT OF FARE,PC,640(C)(1),,N,,,,,,N,,,,,,35
CS0220034,270,2021/01/08 00:00:00+00,2023/02/01 10:10:00+00,2021/01/08 00:00:00+00,2023/02/01 10:10:00+00,,6894,DRIVER,40,F,HISPANIC,W,2016,GMC,YUKON,PASS,,BROADWAY,16TH ST,W,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,36
CS0219810,876,2021/01/08 00:00:00+00,2023/02/01 09:58:00+00,2021/01/08 00:00:00+00,2023/02/01 09:58:00+00,,6847,DRIVER,44,M,AFRICAN AMERICAN,B,2021,TOYOTA,COROLLA,PASS,,BROADWAY,16TH ST,W,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,37
CS0219820,876,2021/01/08 00:00:00+00,2023/02/01 16:18:00+00,2021/01/08 00:00:00+00,2023/02/01 16:18:00+00,,7245,DRIVER,41,M,WHITE,W,,LIME SCOOTER,NOT IN LIST,PASS,,4TH ST,CAPITOL MALL,N,N,Citation,I,(I) OPERATE MOTORIZED SCOOTER W/O DL OR PERMIT,VC,21235(D),,N,,,,,,N,,,,,,38
CS0052529,630,2021/01/08 00:00:00+00,2023/02/01 16:27:00+00,2021/01/08 00:00:00+00,2023/02/01 16:27:00+00,CLEAR,7236,DRIVER,18,M,AFRICAN AMERICAN,B,2004,LINCOLN,LS,PASS,5040,34TH STREET,,S,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,20,,,,,N,,,,,,39
CS0212963,592,2021/01/08 00:00:00+00,2023/02/01 10:09:00+00,2021/01/08 00:00:00+00,2023/02/01 10:09:00+00,CLOUDY,6859,DRIVER,69,M,ASIAN OTHER,A,1997,TOYOTA,TACOMA,PTRK,,LAND PARK DR,13TH AVE,N,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,PK,40
CS0101675,902,2021/01/08 00:00:00+00,2023/02/01 02:12:00+00,2021/01/08 00:00:00+00,2023/02/01 02:12:00+00,CLEAR,7097,DRIVER,45,F,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,3015,POWER INN RD,,,N,CITATION,M,(M) THROW FLAMING SUBSTANCE FROM VEHICLE,HS,13002(A),,N,,,,,,N,,,,,,41
CS0210867,931,2021/01/08 00:00:00+00,2023/02/01 10:00:00+00,2021/01/08 00:00:00+00,2023/02/01 10:00:00+00,FOG,6835,DRIVER,32,F,HISPANIC,W,2013,NISSAN,,PASS,,24TH ST ,52ND AVE,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,65,35,LIDAR,HANDHELD,,N,,,,,,42
CS0219809,876,2021/01/08 00:00:00+00,2023/02/01 09:37:00+00,2021/01/08 00:00:00+00,2023/02/01 09:37:00+00,,6825,DRIVER,25,M,AFRICAN AMERICAN,B,2011,VOLKSWAGEN,JETTA,PASS,,BROADWAY,16TH ST,W,N,Citation,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,,,,,,N,,,,,,43
CS0219812,876,2021/01/08 00:00:00+00,2023/02/01 10:19:00+00,2021/01/08 00:00:00+00,2023/02/01 10:19:00+00,,6878,DRIVER,34,M,WHITE,W,2016,DODGE,RAM 250,PASS,,BROADWAY,FREEPORT BLVD,E,N,CITATION,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,44
CS0219823,876,2021/01/08 00:00:00+00,2023/02/01 17:20:00+00,2021/01/08 00:00:00+00,2023/02/01 17:20:00+00,,7326,DRIVER,50,M,WHITE,W,2009,MERCURY,MARINER,PASS,,L ST,24TH ST,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,Owner's Responsibility,,,45
CS0210871,931,2021/01/08 00:00:00+00,2023/02/01 11:54:00+00,2021/01/08 00:00:00+00,2023/02/01 11:54:00+00,FOG,6968,DRIVER,20,M,HISPANIC,W,2009,LEXUS,,PASS,,FRUITRIDGE RD,24TH ST,E,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,46
CS0219818,876,2021/01/08 00:00:00+00,2023/02/01 12:25:00+00,2021/01/08 00:00:00+00,2023/02/01 12:25:00+00,,7010,DRIVER,26,M,WHITE,W,2008,TOYOTA,CAMRY SOLARA,PASS,,BTOADWAY,16TH ST,W,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,47
CS0214015,953,2021/01/08 00:00:00+00,2023/02/01 18:19:00+00,2021/01/08 00:00:00+00,2023/02/01 18:19:00+00,,7373,DRIVER,24,M,AFRICAN AMERICAN,B,,,,PASS,,DAVID J STERN WALK,7TH ST,,N,Citation,I,(I) JAYWALKING PEDESTRIAN,SCC,10.20.020,,N,,,,,,N,,,,,,48
CS0219813,876,2021/01/08 00:00:00+00,2023/02/01 10:32:00+00,2021/01/08 00:00:00+00,2023/02/01 10:32:00+00,,6891,DRIVER,24,M,AFRICAN AMERICAN,B,2008,VOLKSWAGEN,JETTA,PASS,,RIVERSIDE BLVD,SAN MATEO WAY,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,46,30,LIDAR,HANDHELD,LH001160,N,,,,,,49
CS0216121,530,2021/01/08 00:00:00+00,2023/02/01 11:16:00+00,2021/01/08 00:00:00+00,2023/02/01 11:16:00+00,,6941,DRIVER,27,F,AFRICAN AMERICAN,B,2018,DODGE,,PASS,,RICHARDS BLVD,SEQUOIA PACIFIC BLVD,E,N,WARNING,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),,N,,,,,,N,,,WARNING ONLY,,,50
CS0219790,876,2021/01/05 00:00:00+00,2023/02/01 11:17:00+00,2021/01/05 00:00:00+00,2023/02/01 11:17:00+00,,3996,DRIVER,19,M,AFRICAN AMERICAN,B,2008,CHRYSLER,300,PASS,,FREEPORT BLVD,FLORIN RD,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,65,50,LIDAR,HANDHELD,LH001160,N,,,,,,51
CS0210855,931,2021/01/05 00:00:00+00,2023/02/01 10:07:00+00,2021/01/05 00:00:00+00,2023/02/01 10:07:00+00,,3913,DRIVER,64,M,AFRICAN AMERICAN,B,1998,FORD,,PASS,,FLORIN RD,TAMOSHANTER WAY,,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,52
CS0219795,876,2021/01/05 00:00:00+00,2023/02/01 12:46:00+00,2021/01/05 00:00:00+00,2023/02/01 12:46:00+00,,4103,DRIVER,31,F,AFRICAN AMERICAN,B,2013,VOLKSWAGEN,JETTA,PASS,,FRANKLIN BLVD,WESTHAM WAY,N,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,66,45,LIDAR,HANDHELD,LH001160,N,,,,,,53
CS0212954,592,2021/01/05 00:00:00+00,2023/02/01 10:14:00+00,2021/01/05 00:00:00+00,2023/02/01 10:14:00+00,CLEAR,3917,DRIVER,67,M,ASIAN OTHER,A,2000,TOYOTA,TACOMA,PTRK,,CALVINE RD,SUNNYBRAE DR,W,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,PK,54
CS0025561,3066,2021/01/05 00:00:00+00,2023/02/01 16:14:00+00,2021/01/05 00:00:00+00,2023/02/01 16:14:00+00,,4323,DRIVER,25,F,AFRICAN AMERICAN,B,2013,DODGE,AVENGER,PASS,,FRANKLIN BLVD,FRUITRIDGE RD,,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,55
CS0025561,3066,2021/01/05 00:00:00+00,2023/02/01 16:14:00+00,2021/01/05 00:00:00+00,2023/02/01 16:14:00+00,,4323,DRIVER,25,F,AFRICAN AMERICAN,B,2013,DODGE,AVENGER,PASS,,FRANKLIN BLVD,FRUITRIDGE RD,,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),,N,,,,,,N,,,,,,56
CS0219791,876,2021/01/05 00:00:00+00,2023/02/01 11:34:00+00,2021/01/05 00:00:00+00,2023/02/01 11:34:00+00,,4011,DRIVER,30,F,WHITE,W,2016,JEEP,CHEROKEE,PASS,,FREEPORT BLVD,FLORIN RD,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,65,50,LIDAR,HANDHELD,LH001160,N,,,,,,57
CS0210858,931,2021/01/05 00:00:00+00,2023/02/01 11:51:00+00,2021/01/05 00:00:00+00,2023/02/01 11:51:00+00,FOG,4027,DRIVER,23,F,AFRICAN AMERICAN,B,2018,CHEVROLET,,PASS,,FLORIN RD,17TH ST,E,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,70,40,LIDAR,HANDHELD,,N,,,,,,58
CS0210858,931,2021/01/05 00:00:00+00,2023/02/01 11:51:00+00,2021/01/05 00:00:00+00,2023/02/01 11:51:00+00,FOG,4027,DRIVER,23,F,AFRICAN AMERICAN,B,2018,CHEVROLET,,PASS,,FLORIN RD,17TH ST,E,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,70,40,LIDAR,HANDHELD,,N,,,,,,59
CS0163556,982,2021/01/05 00:00:00+00,2023/02/01 22:18:00+00,2021/01/05 00:00:00+00,2023/02/01 21:11:00+00,CLEAR,4458,DRIVER,71,M,AFRICAN AMERICAN,B,2001,PONTIAC,GRAND PRIX,PASS,,STOCKTON BLVD,LAWRENCE DR,N,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,Y,,,Accident,,4D,60
CS0212958,592,2021/01/05 00:00:00+00,2023/02/01 11:18:00+00,2021/01/05 00:00:00+00,2023/02/01 11:18:00+00,CLEAR,3989,DRIVER,50,F,HISPANIC,W,2012,HYUNDAI,SONATA,PASS,,FRANKLIN BLVD,IDAHO DR,S,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,65,45,LIDAR,HANDHELD,LH003515,N,,,,,4D,61
CS0220018,270,2021/01/05 00:00:00+00,2023/02/01 12:33:00+00,2021/01/05 00:00:00+00,2023/02/01 12:33:00+00,,4088,DRIVER,44,F,HISPANIC,W,2019,NISSAN,NOT IN LIST,PASS,,CALVINE RD,SUMMER RIM CIR,N,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,62
CS0077365,933,2021/01/05 00:00:00+00,2023/02/01 20:55:00+00,2021/01/05 00:00:00+00,2023/02/01 20:55:00+00,,3626,DRIVER,34,M,HISPANIC,W,1995,TOYOTA,T100,PASS,,2215 40TH AVE,,,N,CITATION,M,(M) HIT AND RUN - PROPERTY DAMAGE,VC,20002(A)(1),,N,,,,,,N,,,,,,63
CS0192039,656,2021/01/05 00:00:00+00,2023/02/01 06:38:00+00,2020/12/03 00:00:00+00,2023/02/01 13:51:00+00,,353372,DRIVER,88,M,ASIAN OTHER,A,2017,LEXUS,ES250,PASS,,FREEPORT,BROADWAY,,N,CITATION,M,(M) HIT AND RUN - PROPERTY DAMAGE,VC,20002(A)(1),,N,,,,,,Y,,,Accident,,,64
CS0141528,707,2021/01/05 00:00:00+00,2023/02/01 23:39:00+00,2021/01/05 00:00:00+00,2023/02/01 23:39:00+00,CLEAR,4425,DRIVER,31,M,WHITE,W,2020,NISSAN,SENTRA,PASS,,GLORIA DRIVE,RUSH RIVER DRIVE,E,N,CITATION,M,(M) RENT/LEASE VEHICLE W/OUT IID,VC,23247(A),,N,,,,,,Y,,,Accident,,,65
CS0131527,883,2021/01/05 00:00:00+00,2023/02/01 12:56:00+00,2021/01/05 00:00:00+00,2023/02/01 12:56:00+00,,4064,DRIVER,26,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,,GRAND AVE,BELDEN ST,,N,CITATION,M,(M) CARRY CONCEALED FIREARM ON PERSON-MIS,PC,25400(A)(2),(M) CARRY CONCEALED FIREARM ON PERSON-MIS,N,,,,,,N,,,,,,66
CS0219793,876,2021/01/05 00:00:00+00,2023/02/01 11:50:00+00,2021/01/05 00:00:00+00,2023/02/01 11:50:00+00,,4034,DRIVER,36,M,WHITE,W,2014,MERCEDES-BENZ,CLA,PASS,,FREEPORT BLVD,FLORIN RD,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,68,50,LIDAR,HANDHELD,LH001160,N,,,,,,67
