CitationNumber,OfficerBadgeNo,CitationDate,CitationTime,OffenseDate,OffenseTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch,ObjectId
CS0101744,902,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,CLEAR,1640,DRIVER,37,F,WHITE,W,2004,ACURA,MDX,PASS,,STOCKTON BLVD,FRUITRIDGE RD,W,N,CITATION,I,(I) UNSAFE TURNING MOVEMENT,VC,22107,,N,,,,,,N,,,,,,11
CS0101744,902,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,CLEAR,1640,DRIVER,37,F,WHITE,W,2004,ACURA,MDX,PASS,,STOCKTON BLVD,FRUITRIDGE RD,W,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,12
CS0101744,902,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,CLEAR,1640,DRIVER,37,F,WHITE,W,2004,ACURA,MDX,PASS,,STOCKTON BLVD,FRUITRIDGE RD,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,13
CS0101744,902,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,CLEAR,1640,DRIVER,37,F,WHITE,W,2004,ACURA,MDX,PASS,,STOCKTON BLVD,FRUITRIDGE RD,W,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,14
CS0101744,902,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,2022/01/02 00:00:00+00,2023/02/01 19:18:00+00,CLEAR,1640,DRIVER,37,F,WHITE,W,2004,ACURA,MDX,PASS,,STOCKTON BLVD,FRUITRIDGE RD,W,N,CITATION,I,(I) MAINTENANCE OF LAMPS/DEVICES,VC,24252(A),,N,,,,,,N,,,,,,15
CS0115121,983,2022/01/02 00:00:00+00,2023/02/01 23:29:00+00,2022/01/02 00:00:00+00,2023/02/01 23:29:00+00,,1803,DRIVER,46,M,AFRICAN AMERICAN,B,2007,BMW,5 SERIES,PASS,3056,CLAY ST,,,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,,,,,,N,,,,,4D,16
CS0234683,920,2022/01/02 00:00:00+00,2023/02/01 18:13:00+00,2022/01/02 00:00:00+00,2023/02/01 18:13:00+00,,1596,DRIVER,19,M,WHITE,W,2014,FORD,,PASS,,E BIDWELL ST,US 50 WB,,N,Citation,I,(I) MAXIMUM SPEED - OVER 65 LIMIT,VC,22349(A),,N,90,65,PACED,HANDHELD,,N,,,,,,17
1347484,371,2022/01/03 00:00:00+00,2023/02/01 03:00:00+00,2022/01/03 00:00:00+00,2023/02/01 03:00:00+00,CLEAR,1907,Driver,43,M,WHITE,W,2011,KIA,SORENTO,,,TRUXEL RD,SAN JUAN RD,,N,CITATION,I,(I) POSS OPEN CONT WHILE DRIVING,VC,23222(A),,N,,,,,,N,,,SEE ATTACHED PAPER CITATION,,4D,18
CS0046060,668,2022/01/03 00:00:00+00,2023/02/01 07:30:00+00,2022/01/03 00:00:00+00,2023/02/01 07:30:00+00,,1980,DRIVER,48,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,3680,CROCKER DR,,,N,CITATION,M,(M) TRESPASS AFTER NOTICE GIVEN,SCC,9.16.140(B)(1),,N,,,,,,N,,,,,,19
CS0048193,1041,2022/01/03 00:00:00+00,2023/02/01 21:41:00+00,2022/01/03 00:00:00+00,2023/02/01 21:41:00+00,CLEAR,2756,DRIVER,42,F,HISPANIC,W,2017,BMW,3 SERIES,PASS,,NORWOOD AVENUE,HARRIS AVENUE,N,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,,20
CS0048193,1041,2022/01/03 00:00:00+00,2023/02/01 21:41:00+00,2022/01/03 00:00:00+00,2023/02/01 21:41:00+00,CLEAR,2756,DRIVER,42,F,HISPANIC,W,2017,BMW,3 SERIES,PASS,,NORWOOD AVENUE,HARRIS AVENUE,N,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,,21
1346185,474,2022/01/04 00:00:00+00,2023/02/01 19:36:00+00,2022/01/04 00:00:00+00,2023/02/01 19:36:00+00,CLEAR,3815,Driver,34,F,AFRICAN AMERICAN,B,2017,MERCEDES-BENZ,GLE,PASS,2710,DEL PASO RD,,S,Y,CITATION,M,(M) HIT AND RUN - PROPERTY DAMAGE,VC,20002(A),,N,5,,,,,Y,,,REFUSAL,,4D,22
1351786,293,2022/01/04 00:00:00+00,2023/02/01 22:38:00+00,2022/01/04 00:00:00+00,2023/02/01 22:38:00+00,CLEAR,3809,Driver,58,M,WHITE,W,1984,COUN,COUNTY SQUARE,PASS,,2421 DEL PASO BLVD,,,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,SEE ATTACHED PAPER CITATION,,PV,23
1351786,293,2022/01/04 00:00:00+00,2023/02/01 22:38:00+00,2022/01/04 00:00:00+00,2023/02/01 22:38:00+00,CLEAR,3809,Driver,58,M,WHITE,W,1984,COUN,COUNTY SQUARE,PASS,,2421 DEL PASO BLVD,,,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,,,,,,N,,,SEE ATTACHED PAPER CITATION,,PV,24
CS0048937,897,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,,3690,DRIVER,27,M,HISPANIC,W,2005,FORD,CROWN VICTORIA,PASS,1689,ARDEN,,,N,CITATION,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),,N,,,,,,N,,,,,,25
CS0048937,897,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,,3690,DRIVER,27,M,HISPANIC,W,2005,FORD,CROWN VICTORIA,PASS,1689,ARDEN,,,N,CITATION,I,(I) TIRE TREAD - USE,VC,27465(B)(2),,N,,,,,,N,,,,,,26
CS0048937,897,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,,3690,DRIVER,27,M,HISPANIC,W,2005,FORD,CROWN VICTORIA,PASS,1689,ARDEN,,,N,CITATION,I,(I)COVERING AUXILIARY LAMPS REQUIRED FOR OHV,VC,24411,,N,,,,,,N,,,,,,27
CS0048937,897,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,,3690,DRIVER,27,M,HISPANIC,W,2005,FORD,CROWN VICTORIA,PASS,1689,ARDEN,,,N,CITATION,I,(I) AIR POLLUTION CONTROL DEVICE REQUIRED - BAIL + PROOF REQ,VC,27156(A),,N,,,,,,N,,,,,,28
CS0048937,897,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,2022/01/04 00:00:00+00,2023/02/01 19:39:00+00,,3690,DRIVER,27,M,HISPANIC,W,2005,FORD,CROWN VICTORIA,PASS,1689,ARDEN,,,N,CITATION,I,(I) MANDATORY CHILD RESTRAINT REQUIRED FOR CHILD 8 YRS AND UNDER,VC,27360(A),,N,,,,,,N,,,,,,29
CS0096600,1001,2022/01/04 00:00:00+00,2023/02/01 18:52:00+00,2022/01/04 00:00:00+00,2023/02/01 18:52:00+00,,3642,DRIVER,43,M,AFRICAN AMERICAN,B,2001,MERCEDES-BENZ,S-CLASS,PASS,,POWER INN RD,21ST AVE,S,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,60,45,LIDAR,HANDHELD,,N,,,,,,30
CS0096600,1001,2022/01/04 00:00:00+00,2023/02/01 18:52:00+00,2022/01/04 00:00:00+00,2023/02/01 18:52:00+00,,3642,DRIVER,43,M,AFRICAN AMERICAN,B,2001,MERCEDES-BENZ,S-CLASS,PASS,,POWER INN RD,21ST AVE,S,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,60,45,LIDAR,HANDHELD,,N,,,,,,31
CS0211094,665,2022/01/04 00:00:00+00,2023/02/01 09:32:00+00,2022/01/04 00:00:00+00,2023/02/01 09:32:00+00,,3057,DRIVER,58,M,WHITE,W,2003,TOYOTA,,PASS,,28TH ST,E ST,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,32
CS0211095,665,2022/01/04 00:00:00+00,2023/02/01 10:54:00+00,2022/01/04 00:00:00+00,2023/02/01 10:54:00+00,,3141,DRIVER,20,M,EAST INDIAN,W,2018,BMW,,PASS,,CAPITOL MALL,7TH ST,,N,Citation,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,WINDSHIELD TINT,N,,,,,,N,,,,,,33
CS0211096,665,2022/01/04 00:00:00+00,2023/02/01 11:06:00+00,2022/01/04 00:00:00+00,2023/02/01 11:06:00+00,,3154,DRIVER,37,M,HISPANIC,W,2011,TOYOTA,,PASS,,CAPITOL MALL,10TH ST,,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,Owner's Responsibility,,,34
CS0215778,655,2022/01/04 00:00:00+00,2023/02/01 12:18:00+00,2022/01/04 00:00:00+00,2023/02/01 12:18:00+00,,3231,DRIVER,60,F,WHITE,W,2006,CHEVROLET,,PASS,,NORTHGATE,HIGHWAY 160,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,35
CS0215779,655,2022/01/04 00:00:00+00,2023/02/01 13:05:00+00,2022/01/04 00:00:00+00,2023/02/01 13:05:00+00,,3256,DRIVER,64,M,WHITE,W,1996,CHEVROLET,,PASS,200,WEST EL CAMINO,,,N,Citation,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,,,,,N,,,,,,36
CS0215780,655,2022/01/04 00:00:00+00,2023/02/01 14:30:00+00,2022/01/04 00:00:00+00,2023/02/01 14:30:00+00,,3386,DRIVER,30,M,AFRICAN AMERICAN,B,2009,FORD,,PASS,2500,L ST,,,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,37
CS0234338,407,2022/01/04 00:00:00+00,2023/02/01 09:43:00+00,2022/01/04 00:00:00+00,2023/02/01 09:43:00+00,,3080,DRIVER,32,F,KOREAN,A,2012,TOYOTA,,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,38
CS0234338,407,2022/01/04 00:00:00+00,2023/02/01 09:43:00+00,2022/01/04 00:00:00+00,2023/02/01 09:43:00+00,,3080,DRIVER,32,F,KOREAN,A,2012,TOYOTA,,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),,N,,,,,,N,,,,,,39
CS0234339,407,2022/01/04 00:00:00+00,2023/02/01 09:54:00+00,2022/01/04 00:00:00+00,2023/02/01 09:54:00+00,,3087,DRIVER,25,M,HISPANIC,W,2018,CHEVROLET,IMPALA,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,40
CS0234341,407,2022/01/04 00:00:00+00,2023/02/01 10:19:00+00,2022/01/04 00:00:00+00,2023/02/01 10:19:00+00,,3110,DRIVER,37,M,HISPANIC,W,2004,TOYOTA,HIGHLANDER,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),,N,,,,,,N,,,,,,41
CS0234342,407,2022/01/04 00:00:00+00,2023/02/01 10:30:00+00,2022/01/04 00:00:00+00,2023/02/01 10:30:00+00,,3115,DRIVER,38,M,EAST INDIAN,W,2014,VOLKSWAGEN,PASSAT,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,42
CS0234343,407,2022/01/04 00:00:00+00,2023/02/01 10:34:00+00,2022/01/04 00:00:00+00,2023/02/01 10:34:00+00,,3125,DRIVER,32,M,UNKNOWN,U,2006,BMW,3 SERIES,PASS,,MATADERO CT,LAS COCHES WAY,,N,Citation,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,,,,,,N,,,,,,43
CS0234343,407,2022/01/04 00:00:00+00,2023/02/01 10:34:00+00,2022/01/04 00:00:00+00,2023/02/01 10:34:00+00,,3125,DRIVER,32,M,UNKNOWN,U,2006,BMW,3 SERIES,PASS,,MATADERO CT,LAS COCHES WAY,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,44
CS0234343,407,2022/01/04 00:00:00+00,2023/02/01 10:34:00+00,2022/01/04 00:00:00+00,2023/02/01 10:34:00+00,,3125,DRIVER,32,M,UNKNOWN,U,2006,BMW,3 SERIES,PASS,,MATADERO CT,LAS COCHES WAY,,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,45
CS0234344,407,2022/01/04 00:00:00+00,2023/02/01 10:52:00+00,2022/01/04 00:00:00+00,2023/02/01 10:52:00+00,,3147,DRIVER,24,M,UNKNOWN,U,2013,VOLKSWAGEN,NOT IN LIST,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,,,,,N,,,,,,46
CS0234344,407,2022/01/04 00:00:00+00,2023/02/01 10:52:00+00,2022/01/04 00:00:00+00,2023/02/01 10:52:00+00,,3147,DRIVER,24,M,UNKNOWN,U,2013,VOLKSWAGEN,NOT IN LIST,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,47
CS0234345,407,2022/01/04 00:00:00+00,2023/02/01 11:17:00+00,2022/01/04 00:00:00+00,2023/02/01 11:17:00+00,,3170,DRIVER,73,M,WHITE,W,2014,CHEVROLET,SILVERADO 1500,PASS,,AZEVEDO DR,PEBBLEWOOD DR,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,48
CS0234346,407,2022/01/04 00:00:00+00,2023/02/01 11:32:00+00,2022/01/04 00:00:00+00,2023/02/01 11:32:00+00,,3182,DRIVER,40,F,HISPANIC,W,2019,HONDA,PILOT,PASS,,W EL CAMINO AVE,ERIN DR,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,50,35,LIDAR,HANDHELD,LH001157,N,,,,,,49
CS0234347,407,2022/01/04 00:00:00+00,2023/02/01 11:55:00+00,2022/01/04 00:00:00+00,2023/02/01 11:55:00+00,,3207,DRIVER,52,M,WHITE,W,1999,FORD,MUSTANG,PASS,,W EL CAMINO AVE,STONECREEK DR,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,50
CS0215783,655,2022/01/11 00:00:00+00,2023/02/01 10:07:00+00,2022/01/11 00:00:00+00,2023/02/01 10:07:00+00,,9768,DRIVER,31,M,HISPANIC,W,2019,HYUNDAI,,PASS,700,RICHARDS BLVD,,,N,Citation,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,,N,,,,,,N,,,,,,51
CS0215784,655,2022/01/11 00:00:00+00,2023/02/01 10:44:00+00,2022/01/11 00:00:00+00,2023/02/01 10:44:00+00,,9820,DRIVER,32,M,HISPANIC,W,2016,FORD,,PASS,300,RICHARDS BLVD,,,N,WARNING,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,WARNING ONLY,,,52
CS0215785,655,2022/01/11 00:00:00+00,2023/02/01 11:31:00+00,2022/01/11 00:00:00+00,2023/02/01 11:31:00+00,,9873,DRIVER,29,M,HISPANIC,W,2011,FORD,,PASS,,NORTHGATE,HIGHWAY 160,,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,53
CS0215786,655,2022/01/11 00:00:00+00,2023/02/01 12:06:00+00,2022/01/11 00:00:00+00,2023/02/01 12:06:00+00,,9920,DRIVER,30,M,WHITE,W,2016,DODGE,,PASS,,BASLER ,N 16TH,,N,WARNING,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,WARNING ONLY,,,54
CS0215787,655,2022/01/11 00:00:00+00,2023/02/01 12:32:00+00,2022/01/11 00:00:00+00,2023/02/01 12:32:00+00,,9947,DRIVER,29,M,AFRICAN AMERICAN,B,2015,HONDA,,PASS,2700,J ST,,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,55
CS0228300,931,2022/01/11 00:00:00+00,2023/02/01 09:46:00+00,2022/01/11 00:00:00+00,2023/02/01 09:46:00+00,,9743,DRIVER,26,F,AFRICAN AMERICAN,B,2006,TOYOTA,,PASS,,24TH ST,52ND AVE,S,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,48,,,,,N,,,,,,56
CS0228300,931,2022/01/11 00:00:00+00,2023/02/01 09:46:00+00,2022/01/11 00:00:00+00,2023/02/01 09:46:00+00,,9743,DRIVER,26,F,AFRICAN AMERICAN,B,2006,TOYOTA,,PASS,,24TH ST,52ND AVE,S,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,48,,,,,N,,,,,,57
CS0228301,931,2022/01/11 00:00:00+00,2023/02/01 10:06:00+00,2022/01/11 00:00:00+00,2023/02/01 10:06:00+00,,9772,DRIVER,34,M,WHITE,W,2004,NISSAN,,PASS,,FRUITRIDGE RD,24TH ST,E,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,58
CS0228302,931,2022/01/11 00:00:00+00,2023/02/01 10:45:00+00,2022/01/11 00:00:00+00,2023/02/01 10:45:00+00,,9824,DRIVER,28,M,WHITE,W,2007,HONDA,,PASS,,RIVERSIDE BLVD,PARK RIVIERA WAY,,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,59
CS0228303,931,2022/01/11 00:00:00+00,2023/02/01 11:13:00+00,2022/01/11 00:00:00+00,2023/02/01 11:13:00+00,,9862,DRIVER,32,F,WHITE,W,2019,HONDA,,PASS,,POCKET RD,WINDBRIDGE DR,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,60,40,PACED,HANDHELD,,N,,,,,,60
CS0228304,931,2022/01/11 00:00:00+00,2023/02/01 11:48:00+00,2022/01/11 00:00:00+00,2023/02/01 11:48:00+00,,9904,DRIVER,20,M,WHITE,W,2010,CHEVROLET,,PASS,,I-5 NB,FLORIN RD,N,N,Citation,I,(I) MAXIMUM SPEED - OVER 65 LIMIT,VC,22349(A),,N,80,55,PACED,HANDHELD,,N,,,,,,61
CS0233858,270,2022/01/11 00:00:00+00,2023/02/01 09:35:00+00,2022/01/11 00:00:00+00,2023/02/01 09:35:00+00,,9731,DRIVER,29,M,AFRICAN AMERICAN,B,2021,HARLEY-DAVIDSON,,PASS,,HOWE AVE,COLLEGE TOWN DR,S,N,WARNING,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),,N,,,,,,N,,,WARNING ONLY,,,62
CS0233859,270,2022/01/11 00:00:00+00,2023/02/01 09:37:00+00,2022/01/11 00:00:00+00,2023/02/01 09:37:00+00,,9746,DRIVER,34,M,WHITE,W,2017,RAM,NOT IN LIST,PASS,,FOLSOM BLVD,HORNET DR,W,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,63
CS0233860,270,2022/01/11 00:00:00+00,2023/02/01 09:51:00+00,2022/01/11 00:00:00+00,2023/02/01 09:51:00+00,,9756,DRIVER,75,M,WHITE,W,2005,TOYOTA,,PASS,,FOLSOM BLVD,HORNET DR,W,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,64
CS0233861,270,2022/01/11 00:00:00+00,2023/02/01 09:57:00+00,2022/01/11 00:00:00+00,2023/02/01 09:57:00+00,,9763,DRIVER,52,F,WHITE,W,2019,HYUNDAI,,PASS,,FOLSOM BLVD,HORNET DR,W,N,Citation,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,,,,65
CS0233862,270,2022/01/11 00:00:00+00,2023/02/01 10:05:00+00,2022/01/11 00:00:00+00,2023/02/01 10:05:00+00,,9771,DRIVER,34,F,HISPANIC,W,2013,FORD,,PASS,,FOLSOM BLVD,HORNET DR,E,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,66
CS0233863,270,2022/01/11 00:00:00+00,2023/02/01 10:14:00+00,2022/01/11 00:00:00+00,2023/02/01 10:14:00+00,,9783,DRIVER,53,M,WHITE,W,2011,TOYOTA,COROLLA,PASS,,FOLSOM BLVD,HORNET DR,E,N,Citation,I,(I) ILLEGAL U-TURN-BUSINESS DISTRICT,VC,22102,,N,,,,,,N,,,,,,67
CS0233864,270,2022/01/11 00:00:00+00,2023/02/01 10:18:00+00,2022/01/11 00:00:00+00,2023/02/01 10:18:00+00,,9808,DRIVER,45,M,WHITE,W,2021,FORD,NOT IN LIST,PASS,,FOLSOM BLVD,HORNET DR,W,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,68
