ObjectId,CitationNumber,OfficerBadgeNo,CitationDateTime,OffenseDateTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch
11,CS0196267,931,2019/11/25 18:46:59+00,2019/11/25 18:46:59+00,,381926,DRIVER,18,F,HISPANIC,W,2016,NISSAN,,PASS,,24TH ST,53RD AVE,S,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,59,35,LIDAR,HANDHELD,,N,,,,,
12,CS0025281,530,2019/08/11 16:28:00+00,2019/08/11 16:28:00+00,,258447,DRIVER,62,M,AFRICAN AMERICAN,B,2001,FORD,,PASS,,DEL PASO BLVD,EL CAMINO AVE,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,35,,,,N,,,,,
13,CS0189398,530,2019/01/22 18:36:59+00,2019/01/22 18:36:59+00,,22862,DRIVER,24,F,WHITE,W,2012,HONDA,,PASS,,SUNBEAM AVE,N 12TH ST,E,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
14,CS0196819,530,2019/12/02 16:56:00+00,2019/12/02 16:56:00+00,,388528,DRIVER,53,F,AFRICAN AMERICAN,B,2006,LEXUS,,PASS,,TRUXEL RD,TERRACINA DR,S,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,
15,CS0044600,267,2019/07/07 01:21:59+00,2019/07/07 01:21:59+00,CLEAR,214265,DRIVER,58,M,GUAMANIAN,W,2002,FORD,EXPLORER,PASS,,14TH AVE,POWER INN RD,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,15,,,,,N,,,,,4H
16,CS0192823,522,2019/06/04 18:33:59+00,2019/06/04 18:33:59+00,,175084,DRIVER,67,M,UNKNOWN,U,2003,CHEVROLET,,PASS,,EVERGREEN ST,DIXIEANNE AVE,,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
17,CS0053058,564,2019/01/17 19:57:00+00,2019/01/17 19:57:00+00,,17736,DRIVER,51,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,27TH,STREET,OPERA ALY,,Y,CITATION,M,(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,HS,11364(A),(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,N,,,,,,N,,,,,
18,CS0189937,522,2019/04/09 17:12:00+00,2019/04/09 17:12:00+00,,108297,DRIVER,22,M,WHITE,W,2002,FORD,,PASS,,24TH ST,N ST,,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
19,CS0026669,3066,2019/11/29 19:27:00+00,2019/11/29 19:27:00+00,,385758,DRIVER,22,F,AFRICAN AMERICAN,B,2005,BMW,X5,PASS,,5TH ST,MCCLATCHY WAY,,N,CITATION,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),(I) DISPLAY OF LICENSE PLATES,N,,,,,,N,,,,,
20,CS0025082,530,2019/07/24 15:14:59+00,2019/07/24 15:14:59+00,,235795,DRIVER,17,F,HISPANIC,W,2005,LEXUS,,PASS,,14TH AVE,65TH ST,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,
21,CS0185937,656,2019/02/21 23:41:00+00,2019/02/21 23:41:00+00,,56011,DRIVER,37,F,WHITE,W,2018,NISSAN,ALTIMA,PASS,,FRUITRIDGE,NORMAN,E,N,CITATION,I,(I) MAXIMUM SPEED LIMIT,VC,22348(A),(I) MAXIMUM SPEED LIMIT,N,60,40,LIDAR,HANDHELD,lh003513,N,,,,,
22,CS0184618,388,2019/09/09 14:15:00+00,2019/09/09 14:15:00+00,,293627,DRIVER,34,F,HISPANIC,W,,,NOT IN LIST,PASS,915,I ST,,,Y,CITATION,M,"(M) SIT/LIE DOWN AT CITY HALL BETWEEN 6 AM-9PM, M-F",SCC,12.74.030(A)9,"(M) SIT/LIE DOWN AT CITY HALL BETWEEN 6 AM-9PM, M-F",N,,,,,,N,,,,,
23,CS0186182,592,2019/12/03 20:45:59+00,2019/12/03 20:45:59+00,CLOUDY,389798,DRIVER,57,M,WHITE,W,2019,CHEVROLET,EXPRESS,PTRK,,HORNET DR,FOLSOM BLVD,N,N,CITATION,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,N,,,,,,N,,,,,VN
24,CS0191718,3066,2019/07/20 00:36:00+00,2019/07/20 00:36:00+00,,230353,DRIVER,21,M,UNKNOWN,U,2001,HONDA,ODYSSEY,PASS,,COLLEGE TOWN DR,HORNET DR,,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,
25,CS0193672,530,2019/07/04 17:18:00+00,2019/07/04 17:18:00+00,,210914,DRIVER,42,F,AFRICAN AMERICAN,B,2001,HONDA,,PASS,,PEBBLEWOOD DR,AZEVEDO DR,S,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
26,CS0152937,592,2019/01/13 07:22:59+00,2019/01/13 07:22:59+00,CLEAR,13235,DRIVER,55,M,WHITE,W,2007,MINI,COOPER,PASS,,K ST,11TH ST,,N,CITATION,I,(I)DRIVING ON SIDEWALK PROHIBITED,VC,21663,(I)DRIVING ON SIDEWALK PROHIBITED,N,,,,,,N,,,,,CP
27,CS0025051,530,2019/07/20 20:13:00+00,2019/07/20 20:13:00+00,,231,DRIVER,39,F,WHITE,W,2015,TOYOTA,,PASS,,SUNBEAM AVE,RICHARDS BLVD,E,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,
28,CS0189849,522,2019/03/11 20:25:00+00,2019/03/11 20:25:00+00,,75289,DRIVER,47,M,HISPANIC,W,2000,TOYOTA,CAMRY,PASS,,W EL CAMINO AVE,NORTHGATE BLVD,,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
29,CS0191389,530,2019/04/17 00:17:00+00,2019/04/17 00:17:00+00,,116932,DRIVER,37,M,AFRICAN AMERICAN,B,2005,JEEP,GRAND CHEROKEE,PASS,,RICHARDS BLVD,SUNBEAM AVE,E,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
30,CS0196834,530,2019/12/03 16:18:59+00,2019/12/03 16:18:59+00,,389487,DRIVER,55,M,AFRICAN AMERICAN,B,2002,GMC,,PASS,,21ST AVE,63RD ST,W,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,,,,,
31,CS0191076,530,2019/02/20 14:38:00+00,2019/02/20 14:38:00+00,,54343,DRIVER,31,F,WHITE,W,2005,ACURA,,PASS,,EL CAMINO AVE,CLAY ST,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,55,35,LIDAR,HANDHELD,,N,,,,,
32,CS0190507,876,2019/02/07 17:45:59+00,2019/02/07 17:45:59+00,,40604,DRIVER,48,M,AFRICAN AMERICAN,B,2006,HONDA,ACCORD,PASS,,FOLSOM BLVD,HORNET DR,W,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
33,CS0190262,931,2019/03/08 20:38:00+00,2019/03/08 20:38:00+00,,72219,DRIVER,25,F,WHITE,W,2011,MAZDA,MAZDA3,PASS,,FOLSOM BLVD,59TH ST,E,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,
34,CS0144306,779,2019/03/14 07:38:00+00,2019/03/14 07:38:00+00,,78142,DRIVER,40,M,HISPANIC,W,2003,FORD,E-150,PASS,,NORTHGATE BLVD,ROSIN CT,N,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
35,CS0192998,522,2019/06/22 16:02:00+00,2019/06/22 16:02:00+00,,197128,DRIVER,39,F,ASIAN OTHER,A,2016,ACURA,,PASS,4635,POWER INN RD,,,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,(I) UNSAFE SPEED FOR CONDITIONS,N,64,45,LIDAR,HANDHELD,,N,,,,,
36,CS0024935,553,2019/07/17 22:46:00+00,2019/07/17 22:46:00+00,,227734,DRIVER,32,M,HISPANIC,W,,,NOT IN LIST,PASS,,10TH STREET,J STREET,,N,CITATION,M,(M) VIOLATION OF PROBATION-MISD,PC,1203.2,(M) VIOLATION OF PROBATION-MISD,N,,,,,,N,,,,,
37,CS0196520,530,2019/09/09 01:05:00+00,2019/09/09 01:05:00+00,,293159,DRIVER,21,F,HISPANIC,W,2013,HYUNDAI,,PASS,,GLENROSE AVE,DEL PASO BLVD,S,N,CITATION,I,(I) STOP LAMP REQUIRMENTS/SPECS,VC,24603(A),(I) STOP LAMP REQUIRMENTS/SPECS,N,,,,,,N,,,,,
38,CS0195096,876,2019/08/02 20:55:59+00,2019/08/02 20:55:59+00,,247290,DRIVER,55,F,AFRICAN AMERICAN,B,2019,HONDA,CR-V,PASS,,RIVERSIDE BLVD,SAN MATEO WAY,N,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,(I) UNSAFE SPEED FOR CONDITIONS,N,45,30,LIDAR,HANDHELD,lh001232,N,,,,,
39,CS0185848,656,2019/01/10 20:57:00+00,2019/01/10 20:57:00+00,FOG,10355,DRIVER,34,F,WHITE,W,,,NOT IN LIST,PASS,,19TH ST,I ST,SW,N,WARNING,I, (I) FAIL TO STOP AT LIMIT LINE OR CROSSWALK ON RED SIGNAL,VC,21453(A),(I) FAIL TO STOP AT LIMIT LINE OR CROSSWALK ON RED SIGNAL,N,,,,,,N,,,WARNING ONLY,,
40,CS0191307,530,2019/04/01 21:36:59+00,2019/04/01 21:36:59+00,,99111,DRIVER,21,F,WHITE,W,2005,ACURA,,PASS,,CLAY ST,EL CAMINO AVE,W,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,(I) UNSAFE SPEED FOR CONDITIONS,N,55,35,LIDAR,HANDHELD,,N,,,,,
41,CS0192506,522,2019/04/16 17:52:59+00,2019/04/16 17:52:59+00,,116432,DRIVER,30,F,WHITE,W,2012,TOYOTA,,PASS,,FRANKLIN BLVD,FRUITRIDGE RD,,N,CITATION,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,N,,,,,,N,,,,,
42,CS0192538,522,2019/04/18 17:50:00+00,2019/04/18 17:50:00+00,,118974,DRIVER,47,F,UNKNOWN,U,2001,CHEVROLET,,PASS,,POWER INN RD,FRUITRIDGE RD,,N,CITATION,I,(I) UNREGISTERED CALIFORNIA-BASED VEHICLE,VC,4000.4(A),(I) UNREGISTERED CALIFORNIA-BASED VEHICLE,N,,,,,,N,,,,,
43,CS0192816,522,2019/06/04 16:56:00+00,2019/06/04 16:56:00+00,,174943,DRIVER,30,M,UNKNOWN,U,2017,CHEVROLET,SILVERADO 1500,PASS,2121,ARDEN WAY,,,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,,,,,
44,CS0196178,931,2019/08/29 14:06:59+00,2019/08/29 14:06:59+00,,280290,DRIVER,33,M,WHITE,W,2019,HONDA,,PASS,,DUCKHORN DR,SAINTSBURY DR,S,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
45,CS0189337,530,2019/01/10 16:50:00+00,2019/01/10 16:50:00+00,,10038,DRIVER,29,F,MIXED RACE,U,2016,DODGE,,PASS,,J ST,13TH ST,E,N,CITATION,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),(I) DISPLAY OF LICENSE PLATE TABS,N,,,,,,N,,,,,
46,CS0194889,522,2019/11/06 19:15:59+00,2019/11/06 19:15:59+00,,360465,DRIVER,25,F,AFRICAN AMERICAN,B,2018,CHEVROLET,,PASS,,N ST,25TH ST,,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),(I) DISPLAY OF LICENSE PLATE TABS,N,,,,,,N,,,WARNING ONLY,,
47,CS0194788,522,2019/08/30 16:59:00+00,2019/08/30 16:59:00+00,,281759,DRIVER,28,F,AFRICAN AMERICAN,B,2004,LEXUS,,PASS,,12TH ST,TERMINAL WAY,,N,CITATION,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,N,,,,,,N,,,,,
48,CS0195431,876,2019/11/07 15:51:00+00,2019/11/07 15:51:00+00,,361488,DRIVER,58,M,AFRICAN AMERICAN,B,2000,DODGE,RAM 250,PASS,,FRANKLIN BLVD,EHRHARDT AVE,N,N,WARNING,I,(I) VEHICLE IN BIKE LANE,VC,21209(A),(I) VEHICLE IN BIKE LANE,N,,,,,,N,,,WARNING ONLY,,
49,CS0189342,530,2019/01/10 17:32:59+00,2019/01/10 17:32:59+00,,10087,DRIVER,55,M,WHITE,W,2013,SUBARU,,PASS,,H ST,27TH ST,S,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
50,CS0186954,876,2019/01/22 16:21:59+00,2019/01/22 16:21:59+00,,22731,DRIVER,24,F,ASIAN OTHER,A,1997,HONDA,CIVIC,PASS,,FOLSOM BLVD,65TH ST,E,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,
51,CS0193764,530,2019/07/19 15:59:00+00,2019/07/19 15:59:00+00,,229681,DRIVER,41,F,MIXED RACE,U,2017,KIA,,PASS,,CLAY ST,EL CAMINO AVE,W,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,(I) UNSAFE SPEED FOR CONDITIONS,N,55,35,LIDAR,HANDHELD,,N,,,,,
52,1338552,251,2019/09/02 18:53:59+00,2019/09/02 18:53:59+00,,281959,Driver,50,F,WHITE,W,,,,,,5TH ST,J ST,,N,CITATION,M,(M) REFUSE TO DISPERSE,PC,416(A),SEIU Protest,N,,,,,,N,,,,,
53,CS0195387,876,2019/10/24 18:14:00+00,2019/10/24 18:14:00+00,,345589,DRIVER,36,M,WHITE,W,2018,NISSAN,FRONTIER,PASS,,29TH ST,L ST,S,N,CITATION,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,N,,,,,,N,,,,,
54,CS0193579,530,2019/06/10 22:24:00+00,2019/06/10 22:24:00+00,,182997,DRIVER,34,F,AFRICAN AMERICAN,B,2014,HYUNDAI,,PASS,,CHALLENGE WAY,ARDEN WAY,W,N,CITATION,I,"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",VC,27315(D)(1),"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",N,,,,,,N,,,,,
55,CS0025281,530,2019/08/11 16:28:00+00,2019/08/11 16:28:00+00,,258447,DRIVER,62,M,AFRICAN AMERICAN,B,2001,FORD,,PASS,,DEL PASO BLVD,EL CAMINO AVE,W,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,35,,,,N,,,,,
56,CS0044600,267,2019/07/07 01:21:59+00,2019/07/07 01:21:59+00,CLEAR,214265,DRIVER,58,M,GUAMANIAN,W,2002,FORD,EXPLORER,PASS,,14TH AVE,POWER INN RD,W,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,15,,,,,N,,,,,4H
57,CS0191667,3066,2019/06/18 15:52:00+00,2019/06/18 15:52:00+00,,192621,DRIVER,34,F,HISPANIC,W,2007,DODGE,CHARGER,PASS,,62ND ST,21ST AVE,,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,52,35,PACED,HANDHELD,,N,,,,,
58,CS0189937,522,2019/04/09 17:12:00+00,2019/04/09 17:12:00+00,,108297,DRIVER,22,M,WHITE,W,2002,FORD,,PASS,,24TH ST,N ST,,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,
59,CS0077267,511,2019/05/02 18:10:00+00,2019/05/02 18:10:00+00,,137257,DRIVER,54,M,WHITE,W,,,NOT IN LIST,PASS,730,I ST,,,Y,CITATION,M,(M) POSSESS DIRK/DAGGER,PC,21310,(M) POSSESS DIRK/DAGGER,N,,,,,,N,,,,,
60,CS0191729,3066,2019/07/22 22:30:00+00,2019/07/22 22:30:00+00,,233801,DRIVER,25,M,ASIAN OTHER,A,2008,HONDA,CIVIC,PASS,,N 3RD ST,RICHARDS BLVD,,N,CITATION,I,(I) ADEQUATE MUFFLER REQUIRED TO BE MAINTAINED,VC,27150(A),(I) ADEQUATE MUFFLER REQUIRED TO BE MAINTAINED,N,,,,,,N,,,,,
61,CS0025371,530,2019/08/21 00:03:00+00,2019/08/21 00:03:00+00,,269957,DRIVER,48,M,WHITE,W,2014,TOYOTA,,PASS,7901,LA RIVIERA,,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,
62,CS0025090,530,2019/07/24 16:21:00+00,2019/07/24 16:21:00+00,,235862,DRIVER,22,F,HISPANIC,W,2016,FORD,,PASS,,21ST AVE,65TH ST,E,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
63,CS0194503,522,2019/06/22 17:06:00+00,2019/06/22 17:06:00+00,,197181,DRIVER,24,M,WHITE,W,2001,BMW,,PASS,,OCCIDENTAL DR,BENNINGTON WAY,,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
64,CS0025059,530,2019/07/21 14:45:59+00,2019/07/21 14:45:59+00,,232415,DRIVER,43,M,HISPANIC,W,1999,NISSAN,,PASS,,TAFT ST,EL CAMINO AVE,W,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
65,CS0194521,522,2019/06/24 16:18:00+00,2019/06/24 16:18:00+00,,199484,DRIVER,21,M,GUAMANIAN,W,2008,BMW,,PASS,,W EL CAMINO AVE,W RIVER DR,,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,53,40,,,,N,,,,,
66,CS0184582,388,2019/07/01 15:40:00+00,2019/07/01 15:40:00+00,CLEAR,206982,DRIVER,49,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,621,J ST,,,Y,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),(M) POSS DANGEROUS DRUG,N,,,,,,N,,,,,
67,CS0193383,931,2019/07/19 14:52:59+00,2019/07/19 14:52:59+00,,229613,DRIVER,57,F,HISPANIC,W,2019,TOYOTA,CAMRY,PASS,,EL CAMINO AVE,KNOLL ST,E,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,(I) UNSAFE SPEED FOR CONDITIONS,N,54,35,LIDAR,HANDHELD,,N,,,,,
68,CS0196515,530,2019/09/08 21:27:59+00,2019/09/08 21:27:59+00,,292940,DRIVER,25,F,HISPANIC,W,2000,HONDA,,PASS,,DEL PASO BLVD,CANTALIER ST,N,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
69,CS0025075,530,2019/07/23 17:51:00+00,2019/07/23 17:51:00+00,,234707,DRIVER,23,F,HISPANIC,W,2010,VOLKSWAGEN,,PASS,,MCCLATCHY WAY,5TH ST,S,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,35,LIDAR,,,N,,,,,
70,CS0025355,530,2019/08/19 19:57:59+00,2019/08/19 19:57:59+00,,268447,DRIVER,44,F,AFRICAN AMERICAN,B,1998,TOYOTA,,PASS,,GRAND AVE,FIG ST,W,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,35,LIDAR,,,N,,,,,
71,CS0190115,931,2019/02/01 18:33:59+00,2019/02/01 18:33:59+00,,33980,DRIVER,52,M,HISPANIC,W,2011,CHEVROLET,SILVERADO 1500,PASS,,ARDEN WAY,HERITAGE LN,E,N,WARNING,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,WARNING ONLY,,
